block_lot,norm_address...2,norm_city,norm_state,lat,long,norm_address...7,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,residential,neighbourhood,highway,man_made,building,shop,amenity,office,craft,leisure,town,railway
29701_16,183 GATES AVE,JERSEY CITY,NJ,40.69352822476284,-74.09851612672412,"183, Gates Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States",314250748,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11631295,40.69352822476284,-74.09851612672412,183,Gates Avenue,Greenville,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3403_10,117 LINCOLN ST,JERSEY CITY,NJ,40.74855732,-74.0542576,"117, Lincoln Street, Jersey City, Hudson County, New Jersey, 07307, United States",314253693,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,276817716,40.748557319999996,-74.0542576,117,Lincoln Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501_47,108 KEARNEY AVE,JERSEY CITY,NJ,40.71198021428572,-74.08043243877552,"Flip Wilson Court, West Bergen, Jersey City, Hudson County, New Jersey, 07305, United States",103451001,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632088,40.71191418947233,-74.08047567449628,NA,Flip Wilson Court,West Bergen,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2104_20,211 SOUTH ST,JERSEY CITY,NJ,40.75062223529412,-74.05117482352941,"211, South Street, Jersey City, Hudson County, New Jersey, 07307, United States",314256643,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632085,40.75062223529412,-74.05117482352941,211,South Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4403_48,48 MANHATTAN AVE,JERSEY CITY,NJ,40.74242935483871,-74.0508195483871,"48, Manhattan Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314251294,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632583,40.742429354838706,-74.0508195483871,48,Manhattan Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405_34,3546 KENNEDY BLVD,JERSEY CITY,NJ,40.752682,-74.051996,"198, Paterson Street, Jersey City, Hudson County, New Jersey, 07307, United States",314247996,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632747,40.752697,-74.051997,198,Paterson Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11405_3,328 BARROW ST,JERSEY CITY,NJ,40.720007,-74.045101,"143, Christopher Columbus Drive, Downtown Jersey City, Jersey City, Hudson County, New Jersey, 07302, United States",199643108,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,407281041,40.71996885,-74.04500414264162,143,Christopher Columbus Drive,NA,Jersey City,Hudson County,New Jersey,US-NJ,07302,United States,us,,NA,Downtown Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17907_31,119121 MONTICELLO AVE,JERSEY CITY,NJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23203_51,58 BOSTWICK AVE,JERSEY CITY,NJ,40.707301916666665,-74.08046791666666,"58, Bostwick Avenue, West Bergen, Jersey City, Hudson County, New Jersey, 07305, United States",314251139,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632958,40.707301916666665,-74.08046791666666,58,Bostwick Avenue,West Bergen,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26201_22,165 MC ADOO AVE,JERSEY CITY,NJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
